City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
68,Seymchan,RU,62.8833,152.4333,-9.9,93,100,2.46,overcast clouds
69,Mozarlandia,BR,-14.7447,-50.5706,79.32,57,95,3.36,overcast clouds
70,Vrangel,RU,42.7297,133.0839,51.42,96,96,4.38,overcast clouds
71,Uvat,RU,59.1433,68.8953,32.83,98,100,7.02,light snow
72,Kargasok,RU,59.0556,80.8572,24.69,96,100,7.49,overcast clouds
73,Jamestown,US,42.097,-79.2353,61.02,72,100,3.44,mist
74,Mataura,NZ,-46.1927,168.8643,58.48,53,100,7.92,overcast clouds
75,Boyuibe,BO,-20.4167,-63.2833,71.01,70,8,3.09,clear sky
76,Albany,US,42.6001,-73.9662,67.68,95,100,1.99,overcast clouds
77,Tupancireta,BR,-29.0806,-53.8358,61.18,94,74,10.42,broken clouds
78,Kajaani,FI,64.2273,27.7285,44.65,87,100,9.22,moderate rain
79,Gat,IL,31.61,34.7642,66.4,65,0,0.67,clear sky
80,Arraial Do Cabo,BR,-22.9661,-42.0278,72.32,94,100,11.45,light rain
81,Roma,US,43.2128,-75.4557,65.88,94,100,10.36,overcast clouds
82,Ilulissat,GL,69.2167,-51.1,12.22,79,100,4.61,overcast clouds
83,Leningradskiy,RU,69.3833,178.4167,-10.55,97,36,6.44,scattered clouds
84,Wewak,PG,-3.5534,143.6268,86.63,68,100,1.68,overcast clouds
85,Kodiak,US,57.79,-152.4072,44.11,81,100,11.5,light rain
86,Zagra,RO,47.3333,24.2833,42.1,87,99,0.96,overcast clouds
87,Tasiilaq,GL,65.6145,-37.6368,35.76,68,100,25.97,overcast clouds
88,Porto Belo,BR,-27.1578,-48.5531,71.69,91,100,7.7,overcast clouds
89,Uyovu,TZ,-3.2833,31.5258,63.64,96,100,3.42,light rain
90,Samarai,PG,-10.6167,150.6667,81.39,78,96,10.36,overcast clouds
91,Kuvshinovo,RU,57.0295,34.1725,47.7,97,100,12.17,overcast clouds
92,Yulara,AU,-25.2406,130.9889,94.19,13,0,14.0,clear sky
93,Deputatskiy,RU,69.3,139.9,-8.88,98,100,1.79,overcast clouds
94,Sao Filipe,CV,14.8961,-24.4956,77.07,72,60,5.46,broken clouds
95,Gobabis,NA,-22.45,18.9667,69.8,18,85,6.67,overcast clouds
96,Alta Floresta,BR,-9.8756,-56.0861,70.54,97,86,2.24,light rain
97,Faya,SA,18.3851,42.4509,51.91,63,2,1.39,clear sky
98,Palana,RU,59.1167,159.9667,20.37,82,100,10.13,overcast clouds
99,Vaini,TO,-21.2,-175.2,84.36,74,20,10.36,few clouds
100,Coxim,BR,-18.5067,-54.76,72.66,82,100,3.78,light rain
101,Coahuayana,MX,18.7333,-103.6833,74.46,92,39,1.14,scattered clouds
102,Dikson,RU,73.5069,80.5464,-4.97,100,55,4.29,broken clouds
103,Yanji,CN,42.9075,129.5078,48.47,85,100,2.82,overcast clouds
104,Ambilobe,MG,-13.2,49.05,71.33,80,64,3.8,broken clouds
105,Tuatapere,NZ,-46.1333,167.6833,58.46,68,100,7.72,overcast clouds
106,Adrar,MR,20.5022,-10.0711,70.27,14,57,9.91,broken clouds
107,Kawalu,ID,-7.3817,108.2082,80.67,75,100,2.71,overcast clouds
108,Were Ilu,ET,10.6,39.4333,43.39,79,28,5.84,scattered clouds
109,Tornio,FI,65.8481,24.1466,44.62,88,100,14.94,light rain
110,Yarada,IN,17.65,83.2667,79.12,69,75,9.22,haze
111,Iquitos,PE,-3.7481,-73.2472,80.64,83,75,4.61,broken clouds
112,Hithadhoo,MV,-0.6,73.0833,81.61,78,100,15.88,overcast clouds
113,Ladispoli,IT,41.9537,12.0735,57.25,72,100,5.01,overcast clouds
114,Union,US,40.6334,-74.2663,71.67,96,100,10.36,overcast clouds
115,Kungurtug,RU,50.5994,97.5228,14.09,74,100,1.05,overcast clouds
116,San Patricio,US,28.017,-97.5169,67.84,81,100,20.4,overcast clouds
117,Chuy,UY,-33.6971,-53.4616,60.76,96,4,7.81,clear sky
118,Tautira,PF,-17.7333,-149.15,77.85,80,83,7.09,light rain
119,Guerrero Negro,MX,27.9769,-114.0611,64.98,57,91,14.9,overcast clouds
120,Kruisfontein,ZA,-34.0033,24.7314,63.66,84,1,2.48,clear sky
121,Torbay,CA,47.6666,-52.7314,37.27,87,100,2.3,overcast clouds
122,Marzuq,YE,14.4,46.4667,61.11,68,0,2.33,clear sky
123,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.65,92,56,12.73,heavy intensity rain
124,Yellowknife,CA,62.456,-114.3525,25.32,86,100,21.85,light snow
125,Oktyabrskiy,RU,54.4815,53.471,39.29,94,100,14.05,overcast clouds
126,Seoul,KR,37.5683,126.9778,63.97,55,40,10.36,scattered clouds
127,Nemuro,JP,43.3236,145.575,53.28,72,100,26.46,overcast clouds
128,Nanortalik,GL,60.1432,-45.2371,24.62,85,100,4.32,overcast clouds
129,Portland,US,45.5234,-122.6762,44.82,77,100,13.8,overcast clouds
130,Bathsheba,BB,13.2167,-59.5167,81.21,78,20,14.97,few clouds
131,Hammerfest,NO,70.6634,23.6821,32.45,86,40,5.75,light snow
132,Turukhansk,RU,65.8167,87.9833,-24.07,100,87,1.23,overcast clouds
133,Sambava,MG,-14.2667,50.1667,69.49,84,13,7.9,few clouds
134,Puerto Cabezas,NI,14.0351,-83.3888,77.72,84,48,6.53,scattered clouds
135,Anadyr,RU,64.75,177.4833,-10.7,76,20,8.95,mist
136,Puerto Ayora,EC,-0.7393,-90.3518,68.56,84,99,5.99,overcast clouds
137,Haian,CN,32.5436,120.45,76.01,69,84,11.1,broken clouds
138,Airai,TL,-8.9266,125.4092,75.58,56,93,1.9,overcast clouds
139,Buarcos,PT,40.166,-8.8768,59.34,74,0,6.53,clear sky
140,Westerland,DE,54.9079,8.3033,55.42,94,100,17.27,overcast clouds
141,Khandyga,RU,62.6667,135.6,0.39,94,100,7.45,overcast clouds
142,Tuktoyaktuk,CA,69.4541,-133.0374,23.0,100,100,9.22,light snow
143,Faanui,PF,-16.4833,-151.75,78.66,73,83,3.0,light rain
144,Takoradi,GH,4.8845,-1.7554,77.18,87,26,4.36,scattered clouds
145,Mizdah,LY,31.4451,12.9801,55.47,91,0,5.26,clear sky
146,Los Alamos,US,35.8881,-106.307,32.65,40,0,1.01,clear sky
147,Pouebo,NC,-20.4,164.5667,80.91,67,48,8.95,scattered clouds
148,Cape Town,ZA,-33.9258,18.4232,62.1,82,75,11.5,broken clouds
149,Hit,IQ,33.6416,42.8251,67.59,50,89,8.86,overcast clouds
150,Porto Novo,BJ,6.4965,2.6036,80.42,88,100,3.85,overcast clouds
151,Senanga,ZM,-16.1167,23.2667,67.32,89,99,3.53,light rain
152,Pangnirtung,CA,66.1451,-65.7125,-5.01,88,97,4.47,overcast clouds
153,Isangel,VU,-19.55,169.2667,84.31,79,100,10.36,overcast clouds
154,Lake Havasu City,US,34.4839,-114.3224,60.22,25,0,8.05,clear sky
155,East London,ZA,-33.0153,27.9116,70.43,89,62,12.97,broken clouds
156,High Level,CA,58.5169,-117.136,15.91,86,75,3.44,smoke
157,Soloneshnoye,RU,51.6544,84.3197,25.95,83,100,4.52,overcast clouds
158,Havelock,US,34.8791,-76.9013,76.98,89,75,16.11,broken clouds
159,Barrow,US,71.2906,-156.7887,8.49,94,57,10.09,broken clouds
160,Bonavista,CA,48.6499,-53.1147,33.75,66,100,8.28,overcast clouds
161,Naze,JP,28.3667,129.4833,74.32,95,100,18.66,overcast clouds
162,San Cristobal,VE,7.7669,-72.225,69.98,97,91,2.28,light rain
163,Constitucion,CL,-35.3333,-72.4167,55.0,92,94,12.88,overcast clouds
164,Dawson Creek,CA,55.7666,-120.2362,31.64,69,75,3.44,broken clouds
165,Togitsu,JP,32.8333,129.85,69.78,68,20,5.75,few clouds
166,Vallenar,CL,-28.5708,-70.7581,59.13,68,53,2.51,broken clouds
167,Zyryanka,RU,65.75,150.85,-20.2,98,99,0.51,overcast clouds
168,Xuddur,SO,4.1213,43.8894,70.11,87,4,10.42,clear sky
169,Cabinda,AO,-5.55,12.2,76.35,83,93,5.44,overcast clouds
170,Lebu,CL,-37.6167,-73.65,54.23,91,100,12.62,overcast clouds
171,Abha,SA,18.2164,42.5053,51.62,54,0,0.0,clear sky
172,Bom Jesus,BR,-9.0744,-44.3586,75.7,67,12,0.16,few clouds
173,Korcula,HR,42.9622,17.1369,61.81,47,100,8.57,overcast clouds
174,Todos Santos,MX,23.45,-110.2167,72.66,80,27,4.29,scattered clouds
175,Alofi,NU,-19.0595,-169.9187,80.49,74,75,10.36,broken clouds
176,Thompson,CA,55.7435,-97.8558,-12.84,77,0,2.3,clear sky
177,Klaksvik,FO,62.2266,-6.589,49.12,80,96,24.9,overcast clouds
178,Kavaratti,IN,10.5669,72.642,82.81,53,100,4.68,overcast clouds
179,Mulege,MX,26.8833,-111.9833,66.67,56,43,10.0,scattered clouds
180,Razole,IN,16.4833,81.8333,77.65,72,99,7.81,overcast clouds
181,Dunedin,NZ,-45.8742,170.5036,64.8,66,18,7.0,few clouds
182,Arona,ES,28.0996,-16.681,66.38,69,20,16.11,few clouds
183,Shizunai,JP,42.3339,142.3669,53.96,58,36,10.11,scattered clouds
184,Esperance,AU,-33.8667,121.9,57.04,79,95,27.31,overcast clouds
185,Tecoanapa,MX,16.5167,-98.75,79.52,81,20,5.32,few clouds
186,Karonga,MW,-9.9333,33.9333,74.5,77,55,4.27,broken clouds
187,Kibala,TD,9.1104,18.3463,69.75,100,0,2.3,clear sky
188,La Grande,US,45.3246,-118.0877,33.57,70,100,7.83,overcast clouds
189,Upernavik,GL,72.7868,-56.1549,11.01,83,96,6.62,overcast clouds
190,Mucuri,BR,-18.0864,-39.5508,75.13,85,100,10.76,overcast clouds
191,Povenets,RU,62.8487,34.8262,44.04,86,100,12.57,overcast clouds
192,Nizwa,OM,22.9333,57.5333,68.58,72,0,1.34,clear sky
193,Guanica,PR,17.9716,-66.908,77.97,84,0,5.93,clear sky
194,Fairbanks,US,64.8378,-147.7164,21.6,88,40,0.0,scattered clouds
195,La Primavera,CO,5.4906,-70.4092,77.56,80,28,3.44,scattered clouds
196,Dong Hoi,VN,17.4833,106.6,78.84,77,100,3.51,overcast clouds
197,Khatanga,RU,71.9667,102.5,-29.07,99,77,8.1,broken clouds
198,Kirensk,RU,57.7853,108.1119,24.93,85,99,13.0,overcast clouds
199,Puerto Leguizamo,CO,-0.1934,-74.7819,71.78,98,33,1.61,scattered clouds
200,Male,MV,4.1748,73.5089,78.75,83,75,16.11,broken clouds
201,Codrington,AU,-38.2667,141.9667,62.2,71,100,13.69,heavy intensity rain
202,Aykhal,RU,66.0,111.5,4.05,97,100,6.08,light snow
203,Stafford,GB,52.8052,-2.1164,54.27,90,98,11.74,overcast clouds
204,Beltangadi,IN,13.9833,75.3,70.03,80,100,8.84,overcast clouds
205,Carballo,ES,43.213,-8.691,56.62,87,0,4.74,clear sky
206,Bagan,RU,54.1001,77.6646,29.98,97,100,15.26,snow
207,Cabo San Lucas,MX,22.8909,-109.9124,76.6,70,71,4.0,broken clouds
208,Leh,IN,34.1667,77.5833,19.92,60,53,0.78,broken clouds
209,Bay Roberts,CA,47.5999,-53.2648,37.51,82,100,1.99,overcast clouds
210,Georgetown,MY,5.4112,100.3354,82.89,86,20,1.14,few clouds
211,Bilibino,RU,68.0546,166.4372,-17.99,96,82,3.71,broken clouds
212,Carnarvon,AU,-24.8667,113.6333,68.27,46,0,21.03,clear sky
213,Xiaoshi,CN,41.2971,124.1209,44.38,97,100,6.08,heavy intensity rain
214,Ribeira Grande,PT,38.5167,-28.7,62.78,72,33,18.01,scattered clouds
215,Velingara,SN,13.15,-14.1167,70.79,22,21,1.43,few clouds
216,Itoman,JP,26.1247,127.6694,79.18,92,75,16.11,broken clouds
217,Yebaishou,CN,41.3975,119.6408,31.03,91,100,19.26,light snow
218,Dakar,SN,14.6937,-17.4441,76.08,68,86,12.73,overcast clouds
219,Ostrovnoy,RU,68.0531,39.5131,36.37,98,100,11.14,light rain
220,Ukiah,US,39.1502,-123.2078,52.93,72,0,0.0,clear sky
221,Coihaique,CL,-45.5752,-72.0662,56.01,76,41,2.3,light rain
222,Menongue,AO,-14.6585,17.691,65.34,42,93,6.24,overcast clouds
223,Stillwater,US,36.1156,-97.0584,38.55,59,100,11.9,overcast clouds
224,Souillac,MU,-20.5167,57.5167,71.98,78,20,4.61,few clouds
225,Erzin,TR,36.9559,36.2,60.31,55,0,5.99,clear sky
226,Aklavik,CA,68.2191,-135.0107,1.49,96,29,6.11,scattered clouds
227,Galveston,US,29.3669,-94.9669,65.97,92,81,8.01,broken clouds
228,Shimoda,JP,34.6667,138.95,68.36,71,25,9.51,scattered clouds
229,Kaitangata,NZ,-46.2817,169.8464,66.72,51,99,9.28,overcast clouds
230,Okha,RU,53.5739,142.9478,30.22,61,73,6.69,broken clouds
231,Mayumba,GA,-3.432,10.6554,76.55,88,98,7.02,light rain
232,Gander,CA,48.9682,-54.5906,30.33,86,100,0.0,overcast clouds
233,Mugumu,TZ,-1.85,34.7,60.21,84,92,3.29,overcast clouds
234,Sinteu,RO,47.15,22.4833,40.12,83,62,2.98,broken clouds
235,Abrau-Dyurso,RU,44.69,37.59,40.46,77,7,5.23,clear sky
236,Nanakuli,US,21.3906,-158.1547,82.35,46,75,17.27,broken clouds
237,Sefophe,BW,-22.1833,27.9667,68.43,83,100,8.39,overcast clouds
238,Emba,KZ,48.8264,58.1442,31.39,94,28,8.32,scattered clouds
239,Pyay,MM,18.8167,95.2167,75.38,70,2,6.51,clear sky
240,Melbu,NO,68.5044,14.8297,44.42,93,75,3.44,moderate rain
241,Tinqueux,FR,49.25,3.9833,44.62,100,100,6.91,fog
242,Bambous Virieux,MU,-20.3428,57.7575,71.85,78,20,4.61,few clouds
243,Severodvinsk,RU,64.5635,39.8302,39.31,96,100,12.35,light rain
244,Mount Gambier,AU,-37.8333,140.7667,65.43,61,100,10.0,overcast clouds
245,Sharjah,AE,25.3573,55.4033,76.98,94,0,3.44,mist
246,Nha Trang,VN,12.25,109.1833,78.8,83,100,5.99,moderate rain
247,Nome,US,64.5011,-165.4064,15.12,76,49,10.16,scattered clouds
248,Giddalur,IN,15.35,78.9167,71.87,84,100,8.21,overcast clouds
249,Saint-Joseph,RE,-21.3667,55.6167,70.18,75,6,5.66,clear sky
250,Geraldton,AU,-28.7667,114.6,66.61,34,1,14.97,clear sky
251,Severo-Yeniseyskiy,RU,60.3725,93.0408,19.02,91,100,11.21,overcast clouds
252,Charleston,US,32.7766,-79.9309,73.02,92,0,10.36,clear sky
253,Portales,US,34.1862,-103.3344,36.01,42,0,7.78,clear sky
254,Sasykoli,RU,47.5515,46.9968,37.38,83,0,6.6,clear sky
255,Den Helder,NL,52.9599,4.7593,51.78,94,75,5.99,mist
256,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,77,1,6.69,clear sky
257,Ambon,ID,-3.6954,128.1814,84.34,79,40,3.44,scattered clouds
258,Nordfjordeid,NO,61.9063,5.9915,54.28,71,75,5.75,broken clouds
259,Saldanha,ZA,-33.0117,17.9442,62.65,85,14,10.47,few clouds
260,Komsomolskiy,UZ,40.4272,71.7189,36.32,80,100,4.61,mist
261,Lensk,RU,60.7253,114.9278,23.36,91,100,15.97,light snow
262,Egvekinot,RU,66.3167,-179.1667,-0.17,84,2,7.72,clear sky
263,Ponta Do Sol,PT,32.6667,-17.1,66.83,82,42,3.94,scattered clouds
264,Mesetas,CO,3.3846,-74.0442,70.03,96,100,3.38,overcast clouds
265,Udachnyy,RU,66.4167,112.4,0.45,84,100,4.54,overcast clouds
266,Mumford,GH,5.2618,-0.759,78.21,84,78,4.56,broken clouds
267,Whitecourt,CA,54.1502,-115.6855,25.84,74,100,0.0,overcast clouds
268,Mendi,PG,-6.1761,143.6513,71.91,49,100,6.29,overcast clouds
269,Centerville,US,39.6284,-84.1594,52.29,88,100,11.5,overcast clouds
270,Flinders,AU,-34.5833,150.8552,72.25,72,18,9.33,light rain
271,Hambantota,LK,6.1241,81.1185,75.54,100,20,1.14,few clouds
272,Saint George,US,37.1041,-113.5841,48.79,37,0,5.01,clear sky
273,Taranto,IT,40.6167,17.25,57.85,85,93,16.35,overcast clouds
274,Luanda,AO,-8.8368,13.2343,74.57,78,93,6.62,overcast clouds
275,Malinovoye Ozero,RU,51.6753,79.7825,28.92,83,100,13.13,overcast clouds
276,Tymovskoye,RU,50.8456,142.655,29.5,84,96,6.08,overcast clouds
277,Yenagoa,NG,4.9247,6.2642,76.03,93,100,3.74,overcast clouds
278,Cuajinicuilapa,MX,16.4667,-98.4167,76.93,87,31,0.96,scattered clouds
279,Sitka,US,57.0531,-135.33,39.0,94,100,4.43,light rain
280,Honiara,SB,-9.4333,159.95,77.54,95,100,7.11,overcast clouds
281,Avera,US,33.194,-82.5271,67.51,92,100,13.02,overcast clouds
282,Coolum Beach,AU,-26.5333,153.1,82.35,74,5,11.83,clear sky
283,San Quintin,MX,30.4833,-115.95,61.27,53,0,4.03,clear sky
284,Sao Sebastiao,BR,-23.76,-45.4097,70.7,96,100,3.44,overcast clouds
285,Koumac,NC,-20.5667,164.2833,78.62,74,76,12.88,broken clouds
286,Kumluca,TR,36.3703,30.2869,62.78,54,0,6.04,clear sky
287,Bethel,US,41.3712,-73.414,69.89,86,100,9.22,overcast clouds
288,Gusau,NG,12.1628,6.6614,74.66,28,85,10.42,overcast clouds
289,Cortez,US,37.3489,-108.5859,28.71,64,0,4.32,clear sky
290,Asekeyevo,RU,53.5742,52.7972,39.16,93,100,14.88,overcast clouds
291,Pisco,PE,-13.7,-76.2167,64.02,88,0,16.11,clear sky
292,Pleasanton,US,37.6624,-121.8747,55.06,69,99,1.99,overcast clouds
293,Oda,JP,35.1833,132.5,59.77,63,0,7.94,clear sky
294,Cairns,AU,-16.9167,145.7667,90.07,51,40,9.22,scattered clouds
295,Harper,LR,4.375,-7.7169,77.13,87,100,6.64,overcast clouds
296,Korla,CN,41.7597,86.1469,36.1,49,25,2.15,scattered clouds
297,Lasa,IT,46.6166,10.7002,49.23,45,100,0.94,overcast clouds
298,Porbandar,IN,21.6422,69.6093,77.43,42,2,9.19,clear sky
299,Amuntai,ID,-2.4177,115.2494,82.31,78,100,1.61,overcast clouds
300,Micheweni,TZ,-4.9667,39.8333,77.11,85,8,7.47,light rain
